"","st","countyid","county_name","fcc_broadband","usage"
"1960","NC","7139","Pasquotank County","0.9988","0.744"
"1961","NC","7141","Pender County","0.7822","0.598"
"1962","NC","7143","Perquimans County","0.8779","0.198"
"1963","NC","7145","Person County","0.9887","0.271"
"1964","NC","7147","Pitt County","0.9028","0.449"
"1965","NC","7149","Polk County","0.899","0.208"
"1966","NC","7151","Randolph County","0.9753","0.505"
"1967","NC","7153","Richmond County","0.9375","0.457"
"1968","NC","7155","Robeson County","0.8515","0.401"
"1969","NC","7157","Rockingham County","0.9706","0.472"
"1970","NC","7159","Rowan County","0.9819","0.608"
"1971","NC","7161","Rutherford County","0.9247","0.221"
"1972","NC","7163","Sampson County","0.6531","0.143"
"1973","NC","7165","Scotland County","0.9111","0.275"
"1974","NC","7167","Stanly County","0.985","0.47"
"1975","NC","7169","Stokes County","0.9747","0.393"
"1976","NC","7171","Surry County","0.9977","0.452"
"1977","NC","7173","Swain County","0.6714","0.184"
"1978","NC","7175","Transylvania County","0.8989","0.547"
"1979","NC","7177","Tyrrell County","0.5209","0.058"
"1980","NC","7179","Union County","0.9901","0.807"
"1981","NC","7181","Vance County","0.95","0.401"
"1982","NC","7183","Wake County","0.9986","0.779"
"1983","NC","7185","Warren County","0.6713","0.156"
"1984","NC","7187","Washington County","0.8326","0.11"
"1985","NC","7189","Watauga County","0.9868","0.779"
"1986","NC","7191","Wayne County","0.9665","0.473"
"1987","NC","7193","Wilkes County","0.9936","0.522"
"1988","NC","7195","Wilson County","0.9828","0.676"
"1989","NC","7197","Yadkin County","0.9926","0.509"
"1990","NC","7199","Yancey County","0.9086","0.562"
"1991","ND","8001","Adams County","1","0.633"
"1992","ND","8003","Barnes County","0.9551","0.439"
"1993","ND","8005","Benson County","0.9955","0.324"
"1994","ND","8007","Billings County","0.5366","0.091"
"1995","ND","8009","Bottineau County","0.9987","0.305"
"1996","ND","8011","Bowman County","1","0.521"
"1997","ND","8013","Burke County","0.8184","0.298"
"1998","ND","8015","Burleigh County","0.9879","0.746"
"1999","ND","8017","Cass County","0.9632","0.674"
"2000","ND","8019","Cavalier County","1","0.534"
